wavelength,polarizability
614.4,-370.135
614.5,-370.393
614.6,-370.651
614.7,-370.909
614.8,-371.168
614.9,-371.426
615,-371.685
615.1,-371.944
615.2,-372.204
615.3,-372.463
615.4,-372.723
615.5,-372.983
615.6,-373.243
615.7,-373.504
615.8,-373.765
615.9,-374.025
616,-374.287
616.1,-374.548
616.2,-374.809
616.3,-375.071
616.4,-375.333
616.5,-375.595
616.6,-375.858
616.7,-376.12
616.8,-376.383
616.9,-376.646
617,-376.909
617.1,-377.173
617.2,-377.437
617.3,-377.701
617.4,-377.965
617.5,-378.229
617.6,-378.494
617.7,-378.758
617.8,-379.024
617.9,-379.289
618,-379.554
618.1,-379.82
618.2,-380.086
618.3,-380.352
618.4,-380.618
618.5,-380.885
618.6,-381.152
618.7,-381.419
618.8,-381.686
618.9,-381.953
619,-382.221
619.1,-382.489
619.2,-382.757
619.3,-383.026
619.4,-383.294
619.5,-383.563
619.6,-383.832
619.7,-384.101
619.8,-384.371
619.9,-384.64
620,-384.91
620.1,-385.181
620.2,-385.451
620.3,-385.722
620.4,-385.992
620.5,-386.264
620.6,-386.535
620.7,-386.806
620.8,-387.078
620.9,-387.35
621,-387.622
621.1,-387.895
621.2,-388.168
621.3,-388.44
621.4,-388.714
621.5,-388.987
621.6,-389.261
621.7,-389.534
621.8,-389.808
621.9,-390.083
622,-390.357
622.1,-390.632
622.2,-390.907
622.3,-391.182
622.4,-391.458
622.5,-391.733
622.6,-392.009
622.7,-392.286
622.8,-392.562
622.9,-392.839
623,-393.116
623.1,-393.393
623.2,-393.67
623.3,-393.948
623.4,-394.225
623.5,-394.503
623.6,-394.782
623.7,-395.06
623.8,-395.339
623.9,-395.618
624,-395.897
624.1,-396.177
624.2,-396.457
624.3,-396.736
624.4,-397.017
624.5,-397.297
624.6,-397.578
624.7,-397.859
624.8,-398.14
624.9,-398.421
625,-398.703
625.1,-398.985
625.2,-399.267
625.3,-399.549
625.4,-399.832
625.5,-400.115
625.6,-400.398
625.7,-400.681
625.8,-400.965
625.9,-401.249
626,-401.533
626.1,-401.817
626.2,-402.102
626.3,-402.386
626.4,-402.671
626.5,-402.957
626.6,-403.242
626.7,-403.528
626.8,-403.814
626.9,-404.1
627,-404.387
627.1,-404.674
627.2,-404.961
627.3,-405.248
627.4,-405.536
627.5,-405.823
627.6,-406.111
627.7,-406.4
627.8,-406.688
627.9,-406.977
628,-407.266
628.1,-407.555
628.2,-407.845
628.3,-408.135
628.4,-408.425
628.5,-408.715
628.6,-409.006
628.7,-409.296
628.8,-409.587
628.9,-409.879
629,-410.17
629.1,-410.462
629.2,-410.754
629.3,-411.047
629.4,-411.339
629.5,-411.632
629.6,-411.925
629.7,-412.218
629.8,-412.512
629.9,-412.806
630,-413.1
